run,style_weight,style_guidance,Matching_score,gt_Matching_score,R_precision_top_1,R_precision_top_2,R_precision_top_3,gt_R_precision_top_1,gt_R_precision_top_2,gt_R_precision_top_3,FID,SRA,SRA_3,SRA_5,skate_ratio,Inference_time,Diversity,gt_Diversity
ours,1.5,1.5,3.4767158031463623,2.9612081050872803,0.4390086233615875,0.6256465315818787,0.7321120500564575,0.5155172348022461,0.7099137902259827,0.798491358757019,1.2632844528284437,57.693965911865234,73.85775756835938,79.13793182373047,0.09400000120760814,1.949446046763453,8.181166,9.166179
ours,1.5,2.0,3.4773006439208984,2.9612081050872803,0.44030171632766724,0.6252155303955078,0.7325431108474731,0.5155172348022461,0.7099137902259827,0.798491358757019,1.2646277656096032,57.67241668701172,73.85775756835938,79.13793182373047,0.09404982609037242,1.9042890121196878,8.178995,9.166179
ours,1.5,3.0,3.4773874282836914,2.9612081050872803,0.4396551847457886,0.6252155303955078,0.7325431108474731,0.5155172348022461,0.7099137902259827,0.798491358757019,1.2647945624824644,57.73706817626953,73.85775756835938,79.11637878417969,0.09411316432994751,1.7895936028710726,8.180159,9.166179
