run,style_weight,style_guidance,Matching_score,gt_Matching_score,R_precision_top_1,R_precision_top_2,R_precision_top_3,gt_R_precision_top_1,gt_R_precision_top_2,gt_R_precision_top_3,FID,SRA,SRA_3,SRA_5,skate_ratio,Inference_time,Diversity,gt_Diversity
ours,1.5,0.1,3.3556551933288574,2.9612081050872803,0.4517241418361664,0.6465517282485962,0.7551724314689636,0.5155172348022461,0.7099137902259827,0.798491358757019,0.9945167421175256,51.530174255371094,69.0948257446289,74.82759094238281,0.08388719713274083,1.9668927587311844,8.224695,9.166179
ours,1.5,0.25,3.4415972232818604,2.9612081050872803,0.4396551847457886,0.634482741355896,0.7364224195480347,0.5155172348022461,0.7099137902259827,0.798491358757019,1.1864333555383837,55.754310607910156,72.75862121582031,78.34051513671875,0.09041111674731069,1.9309137130605762,8.204001,9.166179
ours,1.5,0.5,3.464876651763916,2.9612081050872803,0.4375,0.6295258402824402,0.7351292967796326,0.5155172348022461,0.7099137902259827,0.798491358757019,1.2351573441877122,57.155174255371094,73.57759094238281,78.98706817626953,0.0927157866832115,1.7804627599387333,8.207122,9.166179
ours,1.5,1.0,3.4745254516601562,2.9612081050872803,0.4387930929660797,0.6262931227684021,0.7321120500564575,0.5155172348022461,0.7099137902259827,0.798491358757019,1.2576554015879537,57.43534469604492,73.87931060791016,79.0948257446289,0.09370196209201781,1.7361167447320347,8.182379,9.166179
